Server_06	Server_00	Server_01	Server_02	Server_03	Server_04	Server_05	Server_07	Server_0	Time
3.390	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	351.606
3.418	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	352.241
3.441	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	353.704
3.459	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	354.472
3.376	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	356.748
3.309	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	357.252
3.353	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	357.663
3.353	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	359.074
3.291	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	361.751
3.241	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	362.159
3.299	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	363.333
3.248	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	365.112
3.207	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.265	367.869
3.207	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.318	369.561
3.272	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.318	373.995
3.272	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.263	374.422
3.272	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	384.128
3.226	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	384.838
3.189	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	385.269
3.159	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	385.295
3.136	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	386.265
3.117	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	386.542
3.200	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.317	386.632
3.200	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.262	387.367
3.266	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.262	388.093
3.221	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.262	389.110
3.185	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.262	389.158
3.157	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.262	390.297
3.157	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	390.969
3.232	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	392.198
3.232	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.183	392.430
3.292	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.183	392.843
3.292	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	393.548
3.340	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	393.942
3.280	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	394.820
3.135	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	394.964
3.214	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	395.178
3.082	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.252	395.264
3.082	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	395.615
3.172	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	395.878
3.244	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	398.027
3.203	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	400.622
3.269	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	400.697
3.224	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	401.429
3.285	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	402.216
3.334	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	404.375
3.374	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	405.155
3.405	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	406.768
3.333	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	407.296
3.275	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.308	407.748
3.275	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.255	410.332
3.326	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.255	411.855
3.367	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.255	412.286
3.367	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	414.664
3.400	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	415.581
3.426	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	418.296
3.447	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	418.762
3.464	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	419.846
3.478	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	425.651
3.391	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	431.543
3.419	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.212	435.431
